OfferID,ShopID
14541,11
14542,12
14543,13
31719,13
14544,14
14545,15
31543,15
14658,27
43887,27
14658,28
43887,28
14658,29
43887,29
14661,30
14746,31
35608,31
14747,32
14748,33
14749,34
14750,35
14751,36
14752,37
14826,38
14827,39
42592,39
14828,40
14829,41
14830,42
33308,42
14897,43
14897,44
14898,45
14899,46
14900,47
14901,48
15029,49
15030,50
15031,51
15032,52
49158,52
49159,52
15033,53
15034,54
32321,54
15035,55
15374,56
32156,56
15375,57
15828,58
15829,59
15830,60
29484,60
15831,61
15832,62
15832,63
15833,64
15834,65
15835,66
15836,67
15837,68
15838,70
31544,70
15839,71
31545,71
15888,72
15889,73
49577,73
49578,73
15890,75
15932,76
15933,77
15935,80
15936,81
15937,82
15938,84
15939,85
15940,86
15941,87
15942,88
15943,89
15944,90
16008,91
16009,92
16010,93
16011,94
16012,95
16013,96
16013,97
35171,97
16013,98
16014,99
16037,100
16038,101
16039,102
16040,103
16041,104
16042,105
16043,106
16044,107
16045,108
48575,108
16046,109
16061,110
16062,111
16063,112
16064,113
50482,113
16065,114
19489,114
16066,115
16067,116
16068,118
16069,119
16071,120
16070,121
16072,122
16073,123
16074,124
16075,125
16076,127
16077,128
16078,129
16079,130
16080,132
16081,133
16082,134
16083,135
16085,136
16085,137
16085,138
16085,139
16086,140
16087,141
16088,142
16090,145
16091,146
16092,147
16093,148
16093,149
16402,150
16404,151
16404,152
16404,153
16439,154
16440,155
16441,156
16442,157
34191,157
16443,158
16444,159
16445,160
16445,161
16446,162
16447,163
16448,164
19032,164
16449,165
16567,166
16568,167
16569,168
16570,169
16571,170
16573,172
16574,173
40418,173
16818,176
30625,177
16819,178
17351,206
28632,208
33795,219
28644,313
34633,320
33795,330
26797,351
17351,376
26798,390
28644,430
29334,432
26797,452
29334,457
26822,465
28644,473
17561,479
17558,506
17560,508
29333,508
17351,509
26797,520
17557,525
24715,535
29092,535
26820,543
26812,547
17483,578
17352,580
26801,591
26798,596
17492,601
29458,601
17351,607
17481,628
29334,635
24715,637
29092,637
26822,642
17470,645
29334,679
28644,690
17351,693
24715,704
29092,704
29458,720
26822,734
26801,754
28632,756
29333,769
26812,783
26796,784
17486,785
28644,787
17351,794
26822,807
26820,829
33795,864
29333,888
26797,892
29458,893
26820,901
17351,924
29458,955
17351,977
29334,979
26815,985
26798,989
17349,994
17350,995
24715,997
29092,997
17374,1001
17380,1003
17482,1014
17475,1015
33795,1019
17484,1028
30249,1035
17376,1038
26822,1038
17495,1041
24231,1146
24198,1155
26798,1155
24240,1160
24213,1165
17351,1172
24223,1172
24228,1174
24224,1181
24200,1185
24220,1186
24237,1187
26820,1187
24204,1189
26812,1192
24211,1196
29334,1202
24195,1212
24194,1218
24181,1220
24190,1222
24188,1223
24853,1226
24196,1243
24180,1250
24185,1259
24187,1271
24241,1273
26797,1273
24233,1278
26796,1278
17488,1287
24715,1294
29092,1294
30249,1298
17375,1300
17378,1302
26815,1302
26798,1307
28644,1316
17348,1317
17351,1318
29334,1321
33795,1326
17377,1331
26801,1335
17379,1336
28760,1336
26797,1349
29458,1356
28762,1358
17483,1359
29333,1364
17349,1381
17371,1382
17373,1384
17372,1386
26822,1388
28632,1390
17382,1397
17494,1410
26798,1416
28644,1420
26797,1423
17471,1428
33795,1435
29334,1440
29334,1460
33795,1477
17486,1481
24829,1491
26815,1500
26798,1502
26797,1505
26796,1506
24837,1507
24818,1510
24859,1511
24847,1512
30249,1512
24839,1515
24846,1517
24842,1519
29458,1521
24861,1523
24833,1526
29333,1526
24844,1528
24967,1531
24845,1535
24827,1538
24826,1539
17381,1565
17383,1566
17384,1567
17385,1568
17469,1571
17472,1573
17474,1574
17476,1575
17477,1576
17478,1577
17479,1579
17480,1580
17485,1581
17487,1582
17489,1583
17490,1584
17491,1585
17493,1587
17496,1588
17545,1589
17556,1592
17558,1594
17945,1596
30629,1596
17946,1598
17947,1599
17949,1601
18013,1602
18014,1603
18015,1604
18016,1605
18017,1606
18018,1607
18059,1608
18060,1609
18061,1611
18062,1612
18063,1613
18064,1614
18065,1615
18066,1616
18143,1617
48164,1617
48165,1617
18144,1618
18145,1619
18146,1620
18147,1623
18148,1624
18149,1625
18150,1627
34832,1627
18151,1628
18152,1629
18153,1630
18473,1632
18476,1633
18713,1636
18714,1637
18715,1638
18716,1639
18717,1640
19024,1643
19025,1644
19026,1645
19027,1646
19028,1647
19029,1648
19362,1649
19363,1649
19364,1651
19365,1652
19366,1653
19367,1654
19368,1655
19369,1656
19370,1657
19371,1658
19372,1660
19490,1660
19373,1661
19486,1662
19487,1663
19491,1664
19488,1665
19493,1665
19492,1666
19494,1667
19495,1668
19496,1669
19497,1670
